Scaled Voxel Centers:
 [ 8.64398603e+01  1.20542160e+02 -3.77651835e-01]
 [ 8.59725051e+01  1.20444922e+02 -3.76760246e-01]
 [ 8.55929206e+01  1.20468566e+02 -3.76250766e-01]
 [ 8.51847565e+01  1.20450287e+02 -3.75613916e-01]
 [ 8.49210633e+01  1.20635342e+02 -3.75613916e-01]
 [ 8.44273098e+01  1.20492065e+02 -3.74594957e-01]
 [ 8.41635269e+01  1.20675473e+02 -3.74594957e-01]
 [ 8.36996511e+01  1.20570645e+02 -3.73703367e-01]
 [ 8.35209962e+01  1.20875948e+02 -3.74085477e-01]
 [ 8.31146387e+01  1.20851292e+02 -3.73448627e-01]
 [ 8.26240156e+01  1.20701606e+02 -3.72429668e-01]
 [ 8.23034451e+01  1.20798407e+02 -3.72174928e-01]
 [ 8.20109208e+01  1.20935790e+02 -3.72047558e-01]
 [ 8.15782590e+01  1.20865160e+02 -3.71283339e-01]
 [ 8.12857718e+01  1.21000843e+02 -3.71155969e-01]
 [ 8.09096675e+01  1.21011076e+02 -3.70646489e-01]
 [ 8.06724706e+01  1.21228473e+02 -3.70773859e-01]
 [ 8.03518422e+01  1.21320299e+02 -3.70519119e-01]
 [ 7.98109376e+01  1.21077195e+02 -3.69245420e-01]
 [ 7.94910076e+01  1.21166906e+02 -3.68990680e-01]
 [ 7.91437177e+01  1.21213918e+02 -3.68608570e-01]
 [ 7.87693451e+01  1.21218052e+02 -3.68099091e-01]
 [ 7.83410035e+01  1.21137128e+02 -3.67334871e-01]
 [ 7.81028961e+01  1.21349354e+02 -3.67462241e-01]
 [ 7.76214131e+01  1.21182031e+02 -3.66443281e-01]
 [ 7.74905760e+01  1.21561526e+02 -3.67080131e-01]
 [ 7.69029249e+01  1.21222982e+02 -3.65551692e-01]
 [ 7.65307491e+01  1.21220832e+02 -3.65042212e-01]
 [ 7.62919867e+01  1.21429420e+02 -3.65169582e-01]
 [ 7.60526904e+01  1.21637536e+02 -3.65296952e-01]
 [ 7.54693237e+01  1.21293084e+02 -3.63768513e-01]
 [ 7.52301418e+01  1.21499526e+02 -3.63895883e-01]
 [ 7.48329831e+01  1.21449999e+02 -3.63259033e-01]
 [ 7.43318176e+01  1.21228759e+02 -3.62112704e-01]
 [ 7.40403950e+01  1.21347501e+02 -3.61985334e-01]
 [ 7.36190131e+01  1.21251780e+02 -3.61221114e-01]
 [ 7.34311895e+01  1.21540102e+02 -3.61603224e-01]
 [ 7.29589541e+01  1.21356654e+02 -3.60584265e-01]
 [ 7.26933073e+01  1.21515106e+02 -3.60584265e-01]
 [ 7.22993961e+01  1.21458087e+02 -3.59947415e-01]
 [ 7.19825498e+01  1.21529036e+02 -3.59692675e-01]
 [ 7.14371791e+01  1.21211377e+02 -3.58291606e-01]
 [ 7.14754662e+01  1.21884257e+02 -3.59820045e-01]
 [ 7.09061894e+01  1.21521083e+02 -3.58291606e-01]
 [ 7.05397396e+01  1.21502051e+02 -3.57782126e-01]
 [ 7.02237456e+01  1.21568621e+02 -3.57527387e-01]
 [ 6.99077965e+01  1.21634396e+02 -3.57272647e-01]
 [ 6.97905006e+01  1.22046723e+02 -3.58036866e-01]
 [ 6.92265604e+01  1.21676622e+02 -3.56508427e-01]
 [ 6.91080472e+01  1.22088105e+02 -3.57272647e-01]
 [ 6.86444720e+01  1.21889547e+02 -3.56253687e-01]
 [ 6.81087549e+01  1.21558660e+02 -3.54852618e-01]
 [ 6.79157316e+01  1.21837615e+02 -3.55234728e-01]
 [ 6.76005332e+01  1.21897617e+02 -3.54979988e-01]
 [ 6.73337157e+01  1.22044410e+02 -3.54979988e-01]
 [ 6.70184496e+01  1.22102936e+02 -3.54725248e-01]
 [ 6.67991206e+01  1.22336252e+02 -3.54979988e-01]
 [ 6.64119707e+01  1.22261572e+02 -3.54343138e-01]
 [ 6.58828257e+01  1.21921786e+02 -3.52942069e-01]
 [ 6.54502027e+01  1.21756486e+02 -3.52050480e-01]
 [ 6.53251977e+01  1.22163214e+02 -3.52814699e-01]
 [ 6.50343180e+01  1.22260902e+02 -3.52687329e-01]
 [ 6.45562026e+01  1.22004270e+02 -3.51541000e-01]
 [ 6.44522112e+01  1.22454226e+02 -3.52432589e-01]
 [ 6.41145947e+01  1.22461250e+02 -3.52050480e-01]
 [ 6.35693605e+01  1.22068183e+02 -3.50522041e-01]
 [ 6.34401783e+01  1.22472650e+02 -3.51286260e-01]
 [ 6.29888725e+01  1.22254739e+02 -3.50267301e-01]
 [ 6.28581312e+01  1.22658533e+02 -3.51031520e-01]
 [ 6.23852675e+01  1.22394006e+02 -3.49885191e-01]
 [ 6.20947637e+01  1.22484845e+02 -3.49757821e-01]
 [ 6.16015229e+01  1.22173118e+02 -3.48484122e-01]
 [ 6.16031263e+01  1.22843292e+02 -3.50012561e-01]
 [ 6.07985840e+01  1.21902998e+02 -3.46955683e-01]
 [ 6.06428792e+01  1.22258991e+02 -3.47592532e-01]
 [ 6.03531641e+01  1.22345796e+02 -3.47465162e-01]
 [ 6.00413180e+01  1.22387034e+02 -3.47210422e-01]
 [ 5.96418848e+01  1.22247715e+02 -3.46446203e-01]
 [ 5.93961492e+01  1.22422182e+02 -3.46573573e-01]
 [ 5.91716644e+01  1.22641201e+02 -3.46828313e-01]
 [ 5.87518181e+01  1.22454050e+02 -3.45936723e-01]
 [ 5.84838044e+01  1.22581588e+02 -3.45936723e-01]
 [ 5.82369467e+01  1.22753723e+02 -3.46064093e-01]
 [ 5.79469433e+01  1.22834915e+02 -3.45936723e-01]
 [ 5.75931527e+01  1.22779611e+02 -3.45427243e-01]
 [ 5.69650951e+01  1.22134208e+02 -3.43261955e-01]
 [ 5.67819233e+01  1.22439325e+02 -3.43771434e-01]
 [ 5.64092523e+01  1.22335526e+02 -3.43134585e-01]
 [ 5.62873797e+01  1.22776159e+02 -3.44026174e-01]
 [ 5.60601472e+01  1.22989337e+02 -3.44280914e-01]
 [ 5.57703286e+01  1.23065472e+02 -3.44153544e-01]
 [ 5.55626066e+01  1.23323295e+02 -3.44535654e-01]
 [ 5.51496125e+01  1.23124444e+02 -3.43644064e-01]
 [ 5.49411640e+01  1.23381183e+02 -3.44026174e-01]
 [ 5.44282385e+01  1.22951741e+02 -3.42497735e-01]
 [ 5.40382857e+01  1.22795271e+02 -3.41733516e-01]
 [ 5.40300675e+01  1.23508104e+02 -3.43389325e-01]
 [ 5.34407103e+01  1.22891685e+02 -3.41351406e-01]
 [ 1.33875826e+02  3.43235339e+01  5.10045520e+00]
 [ 1.33689315e+02  3.67679662e+01  5.11708712e+00]
 [ 1.33217692e+02  3.91457451e+01  5.12447908e+00]
 [ 1.33802607e+02  4.18621529e+01  5.17437484e+00]
 [ 1.33857460e+02  4.44529209e+01  5.20579069e+00]
 [ 1.34476194e+02  4.72741358e+01  5.26123042e+00]
 [ 1.34285548e+02  4.98514824e+01  5.28710229e+00]
 [ 1.34185332e+02  5.24912347e+01  5.31851814e+00]
 [ 1.34588969e+02  5.53711596e+01  5.37210988e+00]
 [ 1.34610569e+02  5.81420071e+01  5.41276568e+00]
 [ 1.34712694e+02  6.09922782e+01  5.45896545e+00]
 [ 1.34665247e+02  6.38207818e+01  5.50146925e+00]
 [ 1.34738934e+02  6.67549545e+01  5.55136500e+00]
 [ 1.34839493e+02  6.97569486e+01  5.60495674e+00]
 [ 1.34963736e+02  7.28301056e+01  5.66224447e+00]
 [ 1.35151950e+02  7.60022176e+01  5.72507616e+00]
 [ 1.35226618e+02  7.91775160e+01  5.78605986e+00]
 [ 1.35359104e+02  8.24564267e+01  5.85258754e+00]
 [ 1.35544388e+02  8.58441104e+01  5.92465919e+00]
 [ 1.35317414e+02  8.90429719e+01  5.98194691e+00]
 [ 1.35639104e+02  9.26832987e+01  6.06695450e+00]
 [ 1.35710765e+02  9.62457672e+01  6.14457012e+00]
 [ 1.36182174e+02  1.00194409e+02  6.24436163e+00]
 [ 1.34050072e+02  1.02276309e+02  6.22772972e+00]
 [ 1.29375317e+02  1.02328238e+02  6.09282637e+00]
 [ 1.25127368e+02  1.02566423e+02  5.97640294e+00]
 [ 1.20949358e+02  1.02720904e+02  5.86182749e+00]
 [ 1.17180355e+02  1.03092224e+02  5.76573196e+00]
 [ 1.13287904e+02  1.03229384e+02  5.66224447e+00]
 [ 1.09754379e+02  1.03571994e+02  5.57538889e+00]
 [ 1.35233644e+02  6.08877761e+01  1.78636424e+01]
 [ 1.35362152e+02  6.38048158e+01  1.80253856e+01]
 [ 1.35607821e+02  6.68326392e+01  1.82110908e+01]
 [ 1.35744111e+02  6.98654891e+01  1.83908055e+01]
 [ 1.35946592e+02  7.29938041e+01  1.85884917e+01]
