Scaled Voxel Centers:
 [ 2.08852211e+00  2.38605352e+00 -8.06360670e-03]
 [ 2.08462559e+00  2.39211205e+00 -8.06869254e-03]
 [ 2.07481448e+00  2.39136698e+00 -8.05089209e-03]
 [ 2.06632382e+00  2.39210415e+00 -8.03817747e-03]
 [ 2.05327569e+00  2.38750829e+00 -8.00766241e-03]
 [ 2.05001325e+00  2.39426093e+00 -8.01529117e-03]
 [ 2.04283876e+00  2.39644459e+00 -8.00766241e-03]
 [ 2.03048785e+00  2.39250902e+00 -7.97969026e-03]
 [ 2.02526341e+00  2.39693313e+00 -7.97969026e-03]
 [ 2.01359201e+00  2.39369337e+00 -7.95426104e-03]
 [ 2.00643884e+00  2.39578067e+00 -7.94663227e-03]
 [ 1.99352268e+00  2.39093573e+00 -7.91611720e-03]
 [ 1.98894033e+00  2.39604876e+00 -7.91866013e-03]
 [ 1.98116014e+00  2.39729888e+00 -7.90848844e-03]
 [ 1.97274864e+00  2.39775425e+00 -7.89577382e-03]
 [ 1.96307727e+00  2.39663714e+00 -7.87797337e-03]
 [ 1.95594807e+00  2.39858921e+00 -7.87034460e-03]
 [ 1.94692873e+00  2.39819261e+00 -7.85508707e-03]
 [ 1.94043492e+00  2.40087894e+00 -7.85000122e-03]
 [ 1.93331178e+00  2.40276925e+00 -7.84237246e-03]
 [ 1.92243853e+00  2.39995707e+00 -7.81948615e-03]
 [ 1.91532766e+00  2.40179994e+00 -7.81185739e-03]
 [ 1.90573068e+00  2.40049054e+00 -7.79405693e-03]
 [ 1.89614868e+00  2.39915062e+00 -7.77625647e-03]
 [ 1.89152842e+00  2.40406754e+00 -7.77879940e-03]
 [ 1.88504582e+00  2.40661397e+00 -7.77371355e-03]
 [ 1.87241199e+00  2.40125767e+00 -7.74319848e-03]
 [ 1.86900827e+00  2.40770680e+00 -7.75082725e-03]
 [ 1.85702492e+00  2.40307466e+00 -7.72285511e-03]
 [ 1.84811940e+00  2.40236472e+00 -7.70759757e-03]
 [ 1.83861783e+00  2.40083347e+00 -7.68979712e-03]
 [ 1.83640706e+00  2.40881522e+00 -7.70251173e-03]
 [ 1.82449744e+00  2.40405370e+00 -7.67453958e-03]
 [ 1.81804270e+00  2.40643262e+00 -7.66945374e-03]
 [ 1.81218733e+00  2.40959401e+00 -7.66691081e-03]
 [ 1.80452888e+00  2.41033979e+00 -7.65673913e-03]
 [ 1.79149759e+00  2.40384738e+00 -7.62368114e-03]
 [ 1.78744061e+00  2.40935632e+00 -7.62876698e-03]
 [ 1.77802157e+00  2.40761923e+00 -7.61096652e-03]
 [ 1.77098785e+00  2.40907539e+00 -7.60333776e-03]
 [ 1.76218462e+00  2.40809132e+00 -7.58808022e-03]
 [ 1.75457154e+00  2.40869701e+00 -7.57790853e-03]
 [ 1.74285525e+00  2.40361386e+00 -7.54993639e-03]
 [ 1.73936301e+00  2.40984298e+00 -7.55756515e-03]
 [ 1.73235101e+00  2.41119555e+00 -7.54993639e-03]
 [ 1.72475968e+00  2.41171561e+00 -7.53976470e-03]
 [ 1.71543440e+00  2.40977016e+00 -7.52196424e-03]
 [ 1.70786044e+00  2.41024320e+00 -7.51179255e-03]
 [ 1.69971623e+00  2.40987749e+00 -7.49907794e-03]
 [ 1.69445468e+00  2.41357994e+00 -7.49907794e-03]
 [ 1.68460267e+00  2.41071336e+00 -7.47873456e-03]
 [ 1.67933934e+00  2.41438283e+00 -7.47873456e-03]
 [ 1.67008349e+00  2.41228553e+00 -7.46093411e-03]
 [ 1.66651873e+00  2.41839379e+00 -7.46856287e-03]
 [ 1.65841056e+00  2.41790050e+00 -7.45584826e-03]
 [ 1.64862102e+00  2.41490568e+00 -7.43550488e-03]
 [ 1.64222458e+00  2.41684241e+00 -7.43041904e-03]
 [ 1.63638776e+00  2.41959107e+00 -7.42787612e-03]
 [ 1.62775473e+00  2.41817795e+00 -7.41261858e-03]
 [ 1.62191865e+00  2.42089260e+00 -7.41007566e-03]
 [ 1.61441413e+00  2.42109732e+00 -7.39990397e-03]
 [ 1.60968127e+00  2.42544685e+00 -7.40244689e-03]
 [ 1.60328368e+00  2.42728402e+00 -7.39736105e-03]
 [ 1.59249086e+00  2.42242018e+00 -7.37193182e-03]
 [ 1.58610720e+00  2.42421507e+00 -7.36684598e-03]
 [ 1.57917762e+00  2.42515564e+00 -7.35921721e-03]
 [ 1.57170766e+00  2.42523835e+00 -7.34904552e-03]
 [ 1.56316083e+00  2.42361928e+00 -7.33378799e-03]
 [ 1.55840981e+00  2.42786533e+00 -7.33633091e-03]
 [ 1.54880264e+00  2.42451766e+00 -7.31598753e-03]
 [ 1.54619201e+00  2.43211031e+00 -7.32870215e-03]
 [ 1.53446643e+00  2.42533699e+00 -7.29818708e-03]
 [ 1.52704030e+00  2.42529396e+00 -7.28801539e-03]
 [ 1.52227620e+00  2.42946723e+00 -7.29055831e-03]
 [ 1.51750146e+00  2.43363106e+00 -7.29310123e-03]
 [ 1.50586137e+00  2.42673954e+00 -7.26258616e-03]
 [ 1.50108890e+00  2.43086987e+00 -7.26512909e-03]
 [ 1.49316428e+00  2.42987897e+00 -7.25241448e-03]
 [ 1.48316438e+00  2.42545257e+00 -7.22952817e-03]
 [ 1.47734954e+00  2.42782827e+00 -7.22698525e-03]
 [ 1.46894158e+00  2.42591315e+00 -7.21172772e-03]
 [ 1.46519389e+00  2.43168167e+00 -7.21935649e-03]
 [ 1.45577124e+00  2.42801138e+00 -7.19901311e-03]
 [ 1.45047071e+00  2.43118159e+00 -7.19901311e-03]
 [ 1.44261088e+00  2.43004078e+00 -7.18629850e-03]
 [ 1.43628876e+00  2.43146027e+00 -7.18121265e-03]
 [ 1.42540682e+00  2.42510479e+00 -7.15324050e-03]
 [ 1.42617077e+00  2.43856727e+00 -7.18375557e-03]
 [ 1.41481182e+00  2.43130116e+00 -7.15324050e-03]
 [ 1.40749994e+00  2.43092038e+00 -7.14306882e-03]
